id,title,user,game_url,submission_url,disqualified,ratings_count,judge_feedback_count,comments_count,windows,osx,linux,android,Third Party Assets,Team Members,Upload Consent
1239612,Ultimatemetalum,Nikhilbot75,https://nikhilbot75.itch.io/ultimatemetalum,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239612,,0,0,0,,,,,"Unreal Engine Starter Pack

Sci Fi Robot created by Dspazio on the Epic Games Marketplace on April 10, 2019. Asset was free at the time Nikhil received it, which was in May 2020 via the Marketplace via the Epic Games monthly free assets.

Wilhelm Scream - We downloaded the file from this website: 
https://commons.wikimedia.org/wiki/File:Wilhelm_Scream.ogg","Nikhil Ghosh - Programmer (Programming) NikhilGhosh#4200

Paul Young - Game Designer (Game Design, Main Song) PaulThePhilosophyGuy#0354

John Young - Sound Designer (Sound Effects)","[""1""]"
1239547,Trapped!,jerryc05,https://jerryc05.itch.io/trapped,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239547,,0,0,0,true,true,,,"https://assetstore.unity.com/packages/3d/environments/3d-scifi-kit-starter-kit-92152
https://assetstore.unity.com/packages/2d/textures-materials/dynamic-space-background-lite-104606
https://assetstore.unity.com/packages/3d/environments/sci-fi/hitech-scifi-energy-cell-154526
https://assetstore.unity.com/packages/3d/environments/sci-fi/hitech-scifi-energy-cell-154526
https://assetstore.unity.com/packages/3d/characters/jammo-character-mix-and-jam-158456
https://assetstore.unity.com/packages/3d/environments/sci-fi/sci-fi-building-05-185404
https://assetstore.unity.com/packages/audio/sound-fx/retro-games-sound-fx-27280
https://assetstore.unity.com/packages/audio/music/electronic/deep-in-space-88071","Jerry Chen (jerryc05#8313)
uniqname: ziyanc

Xiaoyang Song (Xiaoyang#5837)
uniqname: xysong

Alice Liu (AliceL#1663)
uniqname: lhalice

Eva Cheng (Cheng#0587)
uniqname: evacheng","[""1""]"
1239546,Deja vu uv ajeD,Yingxi Chen,https://yingxi-chen.itch.io/deja-vu-uv-ajed,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239546,,0,0,0,true,,,,N/A,"1.Yingxi Chen
 Discord User name:Elsie Chen#6901

2.Junde Song
Discord User name: Jacky001#7819","[""1""]"
1239543,toSpace,zstarlight,https://zstarlight.itch.io/tospace,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239543,,0,0,0,,,,,N/A,"Daniel Tian (dt800298#8336),Shaquim Lowe(DrayoNarcist#2015)","[""1""]"
1239531,The Loop,kiranm,https://kiranm.itch.io/the-loop,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239531,,0,0,0,,,,,N/A,"kiranm Kiran Menon
forestz Forest Zhang","[""1""]"
1239525,Remember ME,zzt2000,https://zzt2000.itch.io/remember-me,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239525,,0,0,0,,,,,"Texture:
URL: https://assetstore.unity.com/packages/2d/textures-materials/free-stylized-pbr-textures-pack-111778

Door: 
URL: https://assetstore.unity.com/packages/3d/props/interior/door-free-pack-aferar-148411

Music:
URL: https://assetstore.unity.com/packages/audio/sound-fx/horror-elements-112021","Zitong Zhao, Qingyue Jiao
uniquename: zzt, qingyue
Discord: Zzt#0700, Qingyue Jiao#6394","[""1""]"
1239524,Between Rooms,billy,https://wbostick.itch.io/betweenrooms,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239524,,0,0,0,,,,true,"""Grappling Hook Head Piece"" (https://skfb.ly/6WLVZ) by Maxwell Walton is licensed under Creative Commons Attribution 
""Particle Accelerator Pistol"" (https://skfb.ly/HvGP) by Comrade1280 is licensed under Creative Commons Attribution 
""SciFi Pistol"" (https://skfb.ly/6RYOq) by DJMaesen is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","Ahmad Faiyaz - Audio (vandager)
George Castle - Programming, Design (voxlap)
Naveen Sabharwhal - Programming (NavelSaber)
William Bostick - Programming, Design (freezercube)
Brandon Fox - Cover art  (BBox)","[""1""]"
1239523,The Delivery Guy,btschulz,https://btschulz.itch.io/the-delivery-guy,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239523,,0,0,0,,,,,"--------------
3D ASSETS
--------------
- Unreal Marketplace free asset pack: https://marketplace-website-node-launcher-prod.ol.epicgames.com/ue/marketplace/en-US/product/horror-dining-room

- wallet 3d model from 3dmodelfree.com: http://www.3dmodelfree.com/models/34949-0.htm

- glasses 3d model from free3d.com: https://free3d.com/3d-model/frame-glasses-314946.html

- pants from creazilla.com: https://creazilla.com/nodes/39463-set-of-clothes-3d-model

- thumbtack from turbosquid: https://www.turbosquid.com/3d-models/pin-board-3ds-free/478911

----------
SOUNDS
----------
- all sounds from freesound.org

----------
FONT
----------
- free front from dafont.com: https://www.dafont.com/search.php?q=handwriting","Brandon Schulz (RomeoHC#3925), Matthew Miller (spkt#5627)","[""1""]"
1239512,Apple-y Ever After,Mfann,https://mfann.itch.io/apple-y-ever-after,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239512,,0,0,2,true,,,,"External Resources:
Handpainted Keys - RoboCG
Survival Kit Lite - Rowntec Assets
School Supplies - YGS Assets
Wooden Floor Materials - Casual2D
Apple Sound Effects - Fruit Falling SFX Pack 1
Food Pack Mixed - Brain Fail Productions
Heavy Door Lock Unlocking 1 - https://www.fesliyanstudios.com
School Assets - Jarst
Bicycle Song - Komiku - https://www.chosic.com/download-audio/24995/","Thomas Borich (ThomasB#1248)
Michelle Ross (Pimlico#1363)
Joseph Pohl (JoeOfTheBob#1679)
Jacob Draksler (JDraks#1017)
Hon Lee (Flarii#6771)","[""1""]"
1239505,Pumpkin-Take me home-final,pyhao,https://pyhao.itch.io/pumpkin-take-me-home,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239505,,0,0,1,,,,,SOUND AIRYLUVS by ISAo,"Zelin Chen, Yuhao Peng, Songlin Zheng, Chengtian Zhang","[""1""]"
1239500,36,therealdeal935,https://therealdeal935.itch.io/36,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239500,,0,0,0,true,,,,N/A,"Justin Roose - therealdeal935#4953
@theonlyxero
Garrett M.","[""1""]"
1239495,Deja Vu,tvday,https://tvday.itch.io/deja-vu,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239495,,0,0,0,,,,,"Credits (External Assets)
Graphics:
- Free Open Building - Dr. Bean - https://assetstore.unity.com/packages/3d/environments/free-open-building-112907
- Lowpoly Toon Cat Lite - Ombuarts Studio - https://assetstore.unity.com/packages/3d/characters/animals/lowpoly-toon-cat-lite-66083
- Man in a Suit - Studio New Punch - https://assetstore.unity.com/packages/3d/characters/humanoids/humans/man-in-a-suit-51662
- Customizable Kitchen Pack - Fractured Brain Studios - https://assetstore.unity.com/packages/3d/props/interior/customizable-kitchen-pack-22269
- Big Furniture Pack - Vertex Studio - https://assetstore.unity.com/packages/3d/props/furniture/big-furniture-pack-7717
- Dream Forest Tree - IL.ranch - https://assetstore.unity.com/packages/3d/vegetation/trees/dream-forest-tree-105297
- Furniture FREE Pack - DEXSOFT-Games, 3DModels-textures - https://assetstore.unity.com/packages/3d/props/furniture/furniture-free-pack-192628
- Trash Bin - YGS Assets - https://assetstore.unity.com/packages/3d/props/furniture/trash-bin-96670
- Tools and Logs - Mikolaj Spychal - https://assetstore.unity.com/packages/3d/props/tools-and-logs-43971
- White Porcelain Dish Set Demo - Stefαn - https://assetstore.unity.com/packages/3d/white-porcelain-dish-set-demo-82858

Audio:
- Atmospheric Horror Music - Moxie Music - https://assetstore.unity.com/packages/audio/music/atmospheric-horror-music-121337
- Cat2 - Partners In Rhyme - https://www.freesoundeffects.com/free-track/cat2-89415/cat/","Thomas Day, tvday#7658
Alyssa Bigley, lysb33#8416","[""1""]"
1239492,Beat the Clock,Jasmine Li​​,https://jasli106.itch.io/beat-the-clock,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239492,,0,0,0,true,true,,,"Visager - Shrine (Songs from an Unmade World)
https://freemusicarchive.org/music/Visager/Songs_From_An_Unmade_World/Visager_-_Songs_from_an_Unmade_World_-_03_Shrine

Visager - Village Dreaming (Songs from an Unmade World)
https://freemusicarchive.org/music/Visager/Songs_From_An_Unmade_World/Visager_-_Songs_from_an_Unmade_World_-_19_Village_Dreaming_-Loop-

Komiku - Gang of Alley Cats (Poupi’s incredible adventures!)
https://freemusicarchive.org/music/Komiku/Poupis_incredible_adventures_/Komiku_-_Poupis_incredible_adventures__-_17_Gang_of_alley_cats

Komiku - Mall (Captain Glouglou’s Incredible Week Soundtrack)
https://freemusicarchive.org/music/Komiku/Captain_Glouglous_Incredible_Week_Soundtrack/mall_1328

Komiku - Mushrooms (Captain Glouglou’s Incredible Week Soundtrack)
https://freemusicarchive.org/music/Komiku/Captain_Glouglous_Incredible_Week_Soundtrack/bibliothque

Rolemusic - Peek-Door Quest
https://freemusicarchive.org/music/Rolemusic/Pop_Singles_Compilation_2014/Peek-Door_Quest","Anna Ablove (lemon296#7500), Adam Johanson (AJoh#1365)","[""1""]"
1239488,DejaVu: I Have Been In This Race Before,Saxeman,https://saxeman.itch.io/dejavu-i-have-been-in-this-race-before,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239488,,0,0,1,true,true,,,"""Lowpoly Racecar F700"" (https://skfb.ly/6XpYv) by Scuderia Morello is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).
Jeff Bezos twitter picture
biography.com will smith profile
youtube rewind 2018 first 5 seconds","Andrew Saxe: Supervillian99#2144
Bohan Xu: Wavefahrer X #7185
Murphy Justian: Truttle1#7274","[""1""]"
1239477,House(Game Jam Game),Jacob Robinson,https://thesevensages.itch.io/house,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239477,,0,0,0,true,true,,,"Soundtrack:

Constancy Part One by Kevin MacLeod

Link: https://incompetech.filmmusic.io/song/3542-constancy-part-one

License: http://creativecommons.org/licenses/by/4.0/

Piano Sonata No. 14 ( https://www.yourclassical.org/story/2017/06/15/daily-download-ludwig-van-beethoven--piano-sonata-no-14-moonlight-i-adagio-sostenuto )

Vampire Zone font, used in title screen and scoreboard: https://www.dafont.com/vampire-zone.font","Alex Wang, Jacob Robinson, and Ge Zhang","[""1""]"
1239467,Sea of Silence,Nicholas Way,https://eggshelld.itch.io/sea-of-silence,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239467,,0,0,1,,true,,,"Yes
Ocean Texture tiles by 2 Minute Tabletop https://2minutetabletop.com/product/ocean-water-textures/",Nicholas Way (nickel#5970) Julian Way (aquagis#4979),"[""1""]"
1239139,Premonition,Npresley,https://npresley.itch.io/premonition,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239139,,0,0,0,true,true,,,"Song ""Perpetual Tension"" -https://opengameart.org/content/perpetual-tension","Nickolas Presley - Echo0506#5755
Alan Zhang - panqueques#2920","[""1""]"
1239111,Game Jam,ashraggarwal,https://ashraggarwal.itch.io/game-jam,https://itch.io/jam/wsoft-pumpkin-2021/rate/1239111,,0,0,0,,,,,N/A,I worked by myself.  My discord username is Ash Aggarwal.,"[""1""]"
